algo,qubits,tool,result,time
ghz,64,SliQSim,0.5000003094490001,0.0055375099182128
ghz,64,DDSim,0.5000000000000001,0.2211709022521972
graphstate,128,quokka-sharp-comp-gpmc,0,0.0219173431396484
graphstate,128,quokka-sharp-pauli-gpmc,2.9387358770557418029681477480185022763158851915022E-39,0.0644435882568359
graphstate,128,quokka-sharp-comp-ganak,0,0.9396374225616456
graphstate,128,quokka-sharp-pauli-ganak,2.9387358770557187699218413430556141945466638919302E-39,1.5565764904022217
graphstate,128,SliQSim,0.0,0.7287850379943848
graphstate,128,DDSim,ERROR,169.66849160194397
graphstate,32,quokka-sharp-comp-gpmc,2.3283064365387034513076933443353420390069586003890E-10,0.0113337039947509
graphstate,32,quokka-sharp-pauli-gpmc,2.3283064365387008512273399060592055320739746093750E-10,0.0186972618103027
graphstate,32,quokka-sharp-comp-ganak,2.3283064479827881E-10,0.2477433681488037
graphstate,32,quokka-sharp-pauli-ganak,2.328306436538696289062500000000E-10,0.412844181060791
graphstate,32,SliQSim,2.25e-10,0.0296380519866943
graphstate,32,DDSim,2.3283064365386973e-10,0.2216913700103759
graphstate,64,quokka-sharp-comp-gpmc,5.4210108624275555218404314683797588071968278978573E-20,0.014261245727539
graphstate,64,quokka-sharp-pauli-gpmc,5.4210108624275434142727866120210246381194707510076E-20,0.0318684577941894
graphstate,64,quokka-sharp-comp-ganak,5.4210108785454736E-20,0.4774463176727295
graphstate,64,quokka-sharp-pauli-ganak,5.4210108624275221700372640043497085571289062500000E-20,0.8101513385772705
graphstate,64,SliQSim,0.0,0.1197688579559326
graphstate,64,DDSim,5.421010862427525e-20,161.37093305587769
grover-noancilla_nativegates_ibm_qiskit_opt0_5,4,quokka-sharp-comp-gpmc,0,0.006239891052246
grover-noancilla_nativegates_ibm_qiskit_opt0_5,4,quokka-sharp-pauli-gpmc,0.00000,4.228990793228149
grover-noancilla_nativegates_ibm_qiskit_opt0_5,4,quokka-sharp-comp-ganak,0,0.0099997520446777
grover-noancilla_nativegates_ibm_qiskit_opt0_5,4,quokka-sharp-pauli-ganak,0.00000,42.12169861793518
grover-noancilla_nativegates_ibm_qiskit_opt0_5,4,SliQSim,error,0.0836358070373535
grover-noancilla_nativegates_ibm_qiskit_opt0_5,4,DDSim,0.0,0.2103126049041748
grover-noancilla_nativegates_ibm_qiskit_opt0_6,5,quokka-sharp-comp-gpmc,0,0.0151338577270507
grover-noancilla_nativegates_ibm_qiskit_opt0_6,5,quokka-sharp-pauli-gpmc,TIMEOUT,3600.119027614593
grover-noancilla_nativegates_ibm_qiskit_opt0_6,5,quokka-sharp-comp-ganak,0,0.0239660739898681
grover-noancilla_nativegates_ibm_qiskit_opt0_6,5,quokka-sharp-pauli-ganak,TIMEOUT,3600.053149223328
grover-noancilla_nativegates_ibm_qiskit_opt0_6,5,SliQSim,error,0.0684163570404052
grover-noancilla_nativegates_ibm_qiskit_opt0_6,5,DDSim,0.0,0.2161595821380615
grover-noancilla_nativegates_ibm_qiskit_opt0_7,6,quokka-sharp-comp-gpmc,0,0.0593299865722656
grover-noancilla_nativegates_ibm_qiskit_opt0_7,6,quokka-sharp-pauli-gpmc,TIMEOUT,3600.149091959
grover-noancilla_nativegates_ibm_qiskit_opt0_7,6,quokka-sharp-comp-ganak,0,0.051220417022705
grover-noancilla_nativegates_ibm_qiskit_opt0_7,6,quokka-sharp-pauli-ganak,TIMEOUT,3600.1491651535034
grover-noancilla_nativegates_ibm_qiskit_opt0_7,6,SliQSim,error,0.0687496662139892
grover-noancilla_nativegates_ibm_qiskit_opt0_7,6,DDSim,0.0,0.2424845695495605
hwb9_304,170,quokka-sharp-comp-gpmc,0,0.010805606842041
hwb9_304,170,quokka-sharp-pauli-gpmc,TIMEOUT,3600.1373932361603
hwb9_304,170,quokka-sharp-comp-ganak,0,0.0109882354736328
hwb9_304,170,quokka-sharp-pauli-ganak,TIMEOUT,3600.139568090439
hwb9_304,170,SliQSim,0.0,5.59392786026001
hwb9_304,170,DDSim,0.0,2.0320560932159424
qaoa,14,quokka-sharp-comp-gpmc,2.8847993068078647733314991277211150321679983977151E-12,0.0125718116760253
qaoa,14,quokka-sharp-pauli-gpmc,2.884799306807825248591005576611328125000E-12,0.2334356307983398
qaoa,14,quokka-sharp-comp-ganak,2.8847992927872682047376E-12,0.2651107311248779
qaoa,14,quokka-sharp-pauli-ganak,2.884799304199218750E-12,2.271963357925415
qaoa,14,SliQSim,6.1027344000000005e-05,0.0065913200378417
qaoa,14,DDSim,2.8847993068077328e-12,0.2345726490020752
qaoa,15,quokka-sharp-comp-gpmc,9.7773879199191358770114105224193071796085341847193E-19,0.0143852233886718
qaoa,15,quokka-sharp-pauli-gpmc,0E-15,0.837618350982666
qaoa,15,quokka-sharp-comp-ganak,9.77738791091676538E-19,0.2960588932037353
qaoa,15,quokka-sharp-pauli-ganak,0E-15,3.6878502368927
qaoa,15,SliQSim,error,0.0064835548400878
qaoa,15,DDSim,9.777387916058464e-19,0.5298030376434326
qaoa,16,quokka-sharp-comp-gpmc,9.6659819815515679699375067830908761887339174646480E-20,0.013981819152832
qaoa,16,quokka-sharp-pauli-gpmc,0E-16,0.6044373512268066
qaoa,16,quokka-sharp-comp-ganak,9.6659820147939065E-20,0.2623665332794189
qaoa,16,quokka-sharp-pauli-ganak,0E-16,2.6149981021881104
qaoa,16,SliQSim,1.5256836000000001e-05,0.0091266632080078
qaoa,16,DDSim,9.665981981491377e-20,0.4104306697845459
qft,16,quokka-sharp-comp-gpmc,0.000015258789062500033377971961239940128234376627296612,0.0083112716674804
qft,16,quokka-sharp-pauli-gpmc,0.000015258789062500014949301747404174804687500,0.0239512920379638
